Year,Liquefied U.S. Natural Gas Exports by Vessel to Chile MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Belgium MMcf,Liquefied U.S. Natural Gas Exports by Vessel to India MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Turkey MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Spain MMcf,Liquefied U.S. Natural Gas Exports by Vessel to United Kingdom MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Jordan MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Argentina MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Poland MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Netherlands MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Taiwan MMcf,U.S. Natural Gas Pipeline Exports to Canada MMcf,U.S. Liquefied Natural Gas Exports by Vessel to France MMcf,Liquefied U.S. Natural Gas Exports by Vessels to Greece MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Russia MMcf,U.S. Natural Gas Pipeline & Vessel Exports to Mexico MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Brazil MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Italy MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Portugal MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Dominican Republic MMcf,Liquefied U.S. Natural Gas Exports by Vessels to South Korea MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Kuwait MMcf,U.S. Liquefied Natural Gas Exports by Vessel to China MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Israel MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Japan MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Croatia MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Pakistan MMcf
2021,121881,5584,196218,188849,215062,195046,0,83449,56320,174339,99350,937124,170780,39708,0,2170405,307714,34210,65865,53095,453483,34476,449667,8906,354948,36133,45818
2020,80615,31946,124402,123957,199966,160199,6872,15068,36900,85573,64363,902449,90237,48403,0,2025217,111826,68453,36922,26050,316227,17293,214401,15834,287672,3275,36934
2019,90357,23897,91481,30611,166684,118357,32332,39293,38042,81361,27397,972519,117791,14643,0,2008700,54298,68655,53342,10334,270025,10308,6851,0,200864,0,26935
2018,41186,0,57634,23205,10310,51297,38794,27560,3231,12188,16731,835982,18291,3722,0,1870765,35645,17390,12512,5835,252223,9981,90473,3270,125534,,12956
2017,25746,0,20919,24855,29329,3410,36321,16276,3440,3042,9004,916380,0,0,0,1670454,17648,6493,19523,8691,130185,20213,103410,0,53218,,3166
2016,29405,,16915,8762,2930,0,9870,16661,0,0,0,771094,,,0,1404775,9196,3328,3700,2945,10166,7068,17221,,11137,,0
2015,0,,0,,,,,0,,,8257,700647,,,,1054271,0,,0,,,,0,,8262,,
2014,,,,,,,,,,,,769258,,,,728513,,,,,,,,,13310,,
2013,,,,,,,,,,,,911007,,,,658368,,,,,,,,,,,
2012,,,,,,,,,,,,970729,,,,619802,,,,,,,,,9342,,
2011,,,,,,,,,,,,936993,,,,498657,,,,,,,,,15271,,
2010,,,,,,,,,,,,738745,,,,333251,,,,,,,,,30100,,
2009,,,,,,,,,,,,700596,,,,338406,,,,,,,,,30536,,
2008,,,,,,,,,,,,558650,,,,365396,,,,,,,,,39164,,
2007,,,,,,,,,,,,482196,,,,291773,,,,,,,,,46501,,
2006,,,,,,,,,,,,341065,,,,321955,,,,,,,,,60765,,
2005,,,,,,,,,,,,358280,,,,304954,,,,,,,,,65124,,
2004,,,,,,,,,,,,394585,,,,397086,,,,,,,,,62099,,
2003,,,,,,,,,,,,270988,,,,342859,,,,,,,,,65698,,
2002,,,,,,,,,,,,189313,,,,263078,,,,,,,,,63439,,
2001,,,,,,,,,,,,166690,,,,140370,,,,,,,,,65753,,
2000,,,,,,,,,,,,72586,,,,105102,,,,,,,,,65610,,
1999,,,,,,,,,,,,38508,,,,61025,,,,,,,,,63607,,
1998,,,,,,,,,,,,39891,,,,53133,,,,,,,,,65951,,
1997,,,,,,,,,,,,56447,,,,38372,,,,,,,,,62187,,
1996,,,,,,,,,,,,51905,,,,33840,,,,,,,,,67648,,
1995,,,,,,,,,,,,27554,,,,61283,,,,,,,,,65283,,
1994,,,,,,,,,,,,52556,,,,46500,,,,,,,,,62682,,
1993,,,,,,,,,,,,44518,,,,39676,,,,,,,,,55989,,
1992,,,,,,,,,,,,67777,,,,95973,,,,,,,,,52532,,
1991,,,,,,,,,,,,14791,,,,60448,,,,,,,,,54005,,
1990,,,,,,,,,,,,17359,,,,15659,,,,,,,,,52546,,
1989,,,,,,,,,,,,38443,,,,17004,,,,,,,,,51424,,
1988,,,,,,,,,,,,19738,,,,2327,,,,,,,,,51573,,
1987,,,,,,,,,,,,3297,,,,2125,,,,,,,,,48599,,
1986,,,,,,,,,,,,9203,,,,1896,,,,,,,,,50172,,
1985,,,,,,,,,,,,178,,,,2207,,,,,,,,,52883,,
1984,,,,,,,,,,,,127,,,,1786,,,,,,,,,52840,,
1983,,,,,,,,,,,,136,,,,1646,,,,,,,,,52857,,
1982,,,,,,,,,,,,162,,,,1705,,,,,,,,,49861,,
1981,,,,,,,,,,,,106,,,,3337,,,,,,,,,55929,,
1980,,,,,,,,,,,,113,,,,3886,,,,,,,,,44732,,
1979,,,,,,,,,,,,76,,,,4308,,,,,,,,,51289,,
1978,,,,,,,,,,,,66,,,,4033,,,,,,,,,48434,,
1977,,,,,,,,,,,,31,,,,3940,,,,,,,,,51655,,
1976,,,,,,,,,,,,7506,,,,7425,,,,,,,,,49779,,
1975,,,,,,,,,,,,10219,,,,9453,,,,,,,,,53002,,
1974,,,,,,,,,,,,13263,,,,13268,,,,,,,,,50258,,
1973,,,,,,,,,,,,14823,,,,13999,,,,,,,,,48346,,