Year,U.S. Liquefied Natural Gas Imports From Algeria MMcf,U.S. Liquefied Natural Gas Imports From Canada MMcf,U.S. Liquefied Natural Gas Imports From Norway MMcf,U.S. Liquefied Natural Gas Imports From Trinidad and Tobago MMcf,U.S. Liquefied Natural Gas Imports From Nigeria MMcf,U.S. Liquefied Natural Gas Imports From Brunei MMcf,U.S. Natural Gas Pipeline Imports From Mexico MMcf,U.S. Liquefied Natural Gas Imports From Equatorial Guinea MMcf,U.S. Liquefied Natural Gas Imports From Australia MMcf,U.S. Liquefied Natural Gas Imports From United Kingdom MMcf,U.S. Liquefied Natural Gas Imports From United Arab Emirates MMcf,U.S. Liquefied Natural Gas Imports From France MMcf,U.S. Natural Gas Pipeline Imports From Canada MMcf,U.S. Liquefied Natural Gas Imports From Malaysia MMcf,U.S. Liquefied Natural Gas Imports From Oman MMcf,U.S. Liquefied Natural Gas Imports From Qatar MMcf,U.S. Liquefied Natural Gas Imports From Yemen MMcf,U.S. Liquefied Natural Gas Imports From Egypt MMcf,U.S. Liquefied Natural Gas Imports From Indonesia MMcf,U.S. Liquefied Natural Gas Imports From Peru MMcf
2021,0,165,0,21423,0,0,1718,0,0,,0,,2784422,0,0,0,0,0,0,0
2020,0,43,3032,39233,6906,0,1706,0,0,0,0,0,2500122,0,0,0,0,0,0,0
2019,0,226,0,46872,3154,0,1873,0,0,0,0,2651,2686564,0,0,0,0,0,0,0
2018,0,1885,0,65819,2860,0,3316,0,0,3119,0,2768,2808720,0,0,0,0,0,0,0
2017,0,1569,0,70450,5992,0,1346,0,0,0,0,0,2953524,0,0,0,0,0,0,0
2016,0,924,3253,84190,0,0,917,0,0,,0,0,2916913,0,0,0,0,0,0,0
2015,0,437,12194,71439,0,0,933,0,0,,0,,2625359,0,0,0,7441,0,0,0
2014,0,132,5616,42818,0,0,1426,0,0,,0,,2634375,0,0,0,8006,0,0,0
2013,0,555,5627,69744,2590,0,1069,0,0,,0,,2785427,0,0,7320,11024,0,0,0
2012,0,0,6212,112207,0,0,314,0,0,,0,,2962827,0,0,33823,19595,2811,0,0
2011,0,,15175,128620,2362,0,2672,0,0,,0,,3117081,0,0,90972,60071,35120,0,16620
2010,0,,26014,189748,41733,0,29995,0,0,,0,,3279752,0,0,45583,38897,72990,0,16045
2009,0,,29327,236202,13306,0,28296,0,0,,0,,3271107,0,0,12687,0,160435,0,0
2008,0,,14882,266821,12049,0,43314,0,0,,0,,3589089,0,0,3108,0,54839,0,0
2007,77299,,0,447758,95028,0,54062,17795,0,,0,,3782708,0,0,18352,0,114580,0,0
2006,17449,,,389268,57292,0,12749,,0,,0,,3589995,0,0,0,,119528,0,
2005,97157,,,439246,8149,0,9320,,0,,0,,3700454,8719,2464,2986,,72540,0,
2004,120343,,,462100,11818,0,0,,14990,,0,,3606543,19999,9412,11854,,,0,
2003,53423,,,378069,50067,0,0,,0,,0,,3437230,2704,8632,13623,,,0,
2002,26584,,,151104,8123,2401,1755,,0,,0,,3784978,2423,3013,35081,,,0,
2001,64945,,,98009,37966,0,10276,,2394,,0,,3728537,0,12055,22758,,,0,
2000,46947,,,98949,12654,0,11601,,5945,,2725,,3543966,0,9998,46057,,,2760,
1999,75763,,,50777,0,0,54530,,11904,,2713,,3367545,2576,0,19697,,,0,
1998,68567,,,0,0,0,14532,,11634,,5252,,3052073,0,0,0,,,0,
1997,65675,,,0,0,0,17243,,9686,,2417,,2899152,0,0,0,,,0,
1996,35325,,,,,,13862,,0,,4949,,2883277,,,,,,,
1995,17918,,,,,,6722,,0,,0,,2816408,,,,,,,
1994,50778,,,,,,7013,,0,,0,,2566049,,,,,,,
1993,81685,,,,,,1678,,0,,0,,2266751,,,,,,,
1992,43116,,,,,,0,,0,,0,,2094387,,,,,,,
1991,63596,,,,,,0,,0,,0,,1709716,,,,,,,
1990,84193,,,,,,0,,0,,0,,1448065,,,,,,,
1989,42163,,,,,,0,,0,,0,,1339357,,,,,,,
1988,17490,,,,,,0,,0,,0,,1276322,,,,,,,
1987,0,,,,,,0,,0,,0,,992532,,,,,,,
1986,0,,,,,,0,,0,,0,,748780,,,,,,1669,
1985,23659,,,,,,0,,0,,0,,926056,,,,,,,
1984,36191,,,,,,51502,,0,,0,,755368,,,,,,,
1983,131124,,,,,,75361,,0,,0,,711923,,,,,,,
1982,55136,,,,,,94794,,0,,0,,783407,,,,,,,
1981,36824,,,,,,105013,,0,,0,,762113,,,,,,,
1980,85850,,,,,,102410,,0,,0,,796507,,,,,,,
1979,252608,,,,,,0,,0,,0,,1000775,,,,,,,
1978,84422,,,,,,0,,0,,0,,881123,,,,,,,
1977,11324,,,,,,2384,,0,,0,,997295,,,,,,,
1976,10155,,,,,,0,,0,,0,,953613,,,,,,,
1975,4893,,,,,,0,,0,,0,,948115,,,,,,,
1974,0,,,,,,222,,0,,0,,959063,,,,,,,
1973,3388,,,,,,1632,,0,,0,,1027883,,,,,,,