Year,Live births,Abortive outcomes num,Abortive outcomes rate (per million),Hypertensive disorders num,Hypertensive disorders rate (per million),Other maternal disorders num,Other maternal disorders rate (per million),Fetal amniotic or delivery problems num,Fetal amniotic or delivery problems rate (per million),Labor and delivery complications num,Labor and delivery complications rate (per million),Puerperal complications num,Puerperal complications rate (per million),Mental or CNS disorders num,Mental or CNS disorders rate (per million),Respiratory system diseases num,Respiratory system diseases rate (per million)
1999,3959417,31,7.8,82,20.7,20,5.1,41,10.4,60,15.2,84,21.2,0,0.1,3,1.1
2000,4058814,37,9.1,63,15.5,32,7.9,23,5.7,66,16.3,93,22.9,1,0.1,6,0.8
2001,4025933,38,9.4,70,17.4,23,5.7,31,7.7,61,15.2,101,25.1,0,0.2,1,0.7
2002,4021726,22,5.5,50,12.4,25,6.2,21,5.2,58,14.4,82,20.4,2,0.3,1,0.9
2003,4089950,40,9.8,65,15.9,34,8.3,28,6.8,74,18.1,88,21.5,2,0.7,9,2.0
2004,4112052,32,7.8,54,13.1,34,8.3,36,8.8,47,11.4,102,24.8,4,1.4,14,2.4
2005,4138349,33,8.0,59,14.3,45,10.9,26,6.3,51,12.3,122,29.5,11,1.9,7,1.9
2006,4265555,26,6.1,56,13.1,39,9.1,22,5.2,66,15.5,109,25.6,9,2.0,3,1.3
2007,4316233,31,7.2,57,13.2,41,9.5,20,4.6,58,13.4,93,21.5,5,1.6,6,1.5
2008,4247694,34,8.0,65,15.3,50,11.8,30,7.1,62,14.6,114,26.8,6,2.4,10,3.0
2009,4130665,34,8.2,62,15.0,51,12.3,24,5.8,46,11.1,112,27.1,19,2.7,22,4.3
2010,3999386,37,9.3,63,15.8,48,12.0,32,8.0,48,12.0,101,25.3,8,3.1,21,4.6
2011,3953590,27,6.8,80,20.2,61,15.4,34,8.6,50,12.6,96,24.3,10,2.8,13,3.9
2012,3952841,17,4.3,60,15.2,48,12.1,24,6.1,43,10.9,89,22.5,15,3.9,13,3.6
2013,3932181,27,6.9,71,18.1,73,18.6,28,7.1,33,8.4,128,32.6,21,4.1,17,4.3
2014,3988076,28,7.0,55,13.8,83,20.8,34,8.5,26,6.5,92,23.1,13,4.1,21,3.5
2015,3978497,19,4.8,63,15.8,63,15.8,22,5.5,39,9.8,94,23.6,15,4.2,4,3.1
2016,3945875,22,5.6,62,15.7,82,20.8,33,8.4,45,11.4,91,23.1,22,4.4,12,2.0
2017,3855500,19,4.9,70,18.2,89,23.1,43,11.2,38,9.9,93,24.1,15,4.1,8,2.5
2018,3791712,29,7.6,54,14.2,54,14.2,39,10.3,51,13.5,71,18.7,11,3.4,9,2.2