State, Number of deaths (Maternal), Rate (Maternal), 95% lower confidence limit (Maternal), 95% upper confidence limit (Maternal), Number of deaths (Late Maternal), Rate (Late Maternal), 95% lower confidence limit (Late Maternal), 95% upper confidence limit (Late Maternal)
Alabama,21,36.4,22.5,55.6,10,17.3,8.3,31.8
Alaska,†,†,†,†,†,†,†,†
Arizona,18,22.3,13.2,35.2,†,†,†,†
Arkansas,17,45.9,26.8,73.5,†,†,†,†
California,53,11.7,8.7,15.2,26,5.7,3.7,8.4
Colorado,†,†,†,†,†,†,†,†
Connecticut,†,†,†,†,†,†,†,†
Delaware,†,†,†,†,†,†,†,†
District of Columbia,†,†,†,†,†,†,†,†
Florida,35,15.8,11.0,22.0,19,8.6,5.2,13.4
Georgia,35,27.7,19.3,38.6,26,20.6,13.5,30.2
Hawaii,†,†,†,†,†,†,†,†
Idaho,†,†,†,†,†,†,†,†
Illinois,14,9.7,5.3,16.2,†,†,†,†
Indiana,20,24.5,15.0,37.8,†,†,†,†
Iowa,†,†,†,†,†,†,†,†
Kansas,†,†,†,†,†,†,†,†
Kentucky,22,40.8,25.6,61.8,†,†,†,†
Louisiana,15,25.2,14.1,41.5,†,†,†,†
Maine,†,†,†,†,†,†,†,†
Maryland,10,14.1,6.7,25.9,†,†,†,†
Massachusetts,12,17.4,9.0,30.3,†,†,†,†
Michigan,18,16.4,9.7,25.9,†,†,†,†
Minnesota,†,†,†,†,†,†,†,†
Mississippi,†,†,†,†,†,†,†,†
Missouri,12,16.4,8.5,28.6,12,16.4,8.5,28.6
Montana,†,†,†,†,†,†,†,†
Nebraska,†,†,†,†,†,†,†,†
Nevada,†,†,†,†,†,†,†,†
New Hampshire,†,†,†,†,†,†,†,†
New Jersey,27,26.7,17.6,38.8,†,†,†,†
New Mexico,†,†,†,†,†,†,†,†
New York,47,20.8,15.3,27.6,18,8.0,4.7,12.6
North Carolina,13,10.9,5.8,18.7,11,9.2,4.6,16.5
North Dakota,†,†,†,†,†,†,†,†
Ohio,19,14.1,8.5,22.0,†,†,†,†
Oklahoma,15,30.1,16.9,49.7,†,†,†,†
Oregon,†,†,†,†,†,†,†,†
Pennsylvania,19,14.0,8.4,21.9,†,†,†,†
Rhode Island,†,†,†,†,†,†,†,†
South Carolina,14,24.7,13.5,41.5,†,†,†,†
South Dakota,†,†,†,†,†,†,†,†
Tennessee,21,26.0,16.1,39.8,†,†,†,†
Texas,70,18.5,14.4,23.4,22,5.8,3.6,8.8
Utah,†,†,†,†,†,†,†,†
Vermont,†,†,†,†,†,†,†,†
Virginia,16,16.0,9.2,26.0,†,†,†,†
Washington,13,15.1,8.0,25.8,†,†,†,†
West Virginia,†,†,†,†,†,†,†,†
Wisconsin,†,†,†,†,†,†,†,†
Wyoming,†,†,†,†,†,†,†,†